NOMBRE PRIMARIO,TIPO,JERARQUIA,NOMBRE ESPECIFICO,PRIORIDAD,CONCURRENCIA,RESPONSABLE,LATITUD,LONGITUD,DISTRITO
PLAZA B° MUTUAL YPF (SALIDA CASTRO B),Plazas,Secundario,,B,,Delegación,,,CARRODILLA
PLAZA B° NOCETTI RPN°86,Plazas,Secundario,,C,,Delegación,,,
PLAZA B° NUEVA VIDA,Plazas,Terciario,,C,,Delegación,,,
PLAZA B° PARQUE DRUMMOND,Plazas,Secundario,,C,,Higiene Urbana,-33.00960393,-68.86438001,MAYOR DRUMOND
PLAZA B° PAULA ALBARRACÍN,Plazas,Secundario,,C,,Delegación,-33.06757734,-68.89308789,
PLAZA B° PUEBLO UNIDAD RPN°16,Plazas,Terciario,,C,,Delegación,-33.30134707,-68.7843267,EL CARRIZAL
PLAZA B° RENACER,Plazas,Terciario,,C,,Delegación,,,
PLAZA B° SAN CAYETANO,Plazas,Terciario,,C,,Delegación,-33.08712288,-68.88552712,
PLAZA B° SANTA ELENA,Plazas,Terciario,,C,,Higiene Urbana,-33.00837279,-68.91863996,VISTALBA
PLAZA B° SOLAR DEL PLATA,Plazas,Terciario,,C,,Delegación,-33.04029227,-68.91603672,
PLAZA B° TERRAZAS DEL RIO,Plazas,Terciario,,C,,Delegación,-33.05077667,-68.88476713,
PLAZA B° TRINIDAD,Plazas,Terciario,,C,,Delegación,-33.05416558,-68.88936004,
PLAZA B° URVISERV,Plazas,Secundario,,C,,Delegación,-33.07198224,-68.89731941,
PLAZA B° VALLE DE AGRELO I ,Plazas,Secundario,,C,,Delegación,-33.11392212,-68.89262853,AGRELO
PLAZA B° VICTOR HUGO,Plazas,Secundario,,C,,Higiene Urbana,-33.02395008,-68.87527916,
PLAZA B° VIRGEN DE LUJÁN,Plazas,Secundario,,C,,Higiene Urbana,-33.03193806,-68.86875408,
PLAZA BHEGUIN,Plazas,Secundario,,B,,Delegación,-32.96737689,-68.85170818,CARRODILLA
PLAZA BUENA VISTA,Plazas,Secundario,,B,,Delegación,-32.96821376,-68.84555026,CARRODILLA
PLAZA CLAVELES MENDOCINOS,Plazas,Secundario,,C,,Higiene Urbana,,,CIUDAD
PLAZA COLLOVATI,Plazas,Terciario,,C,,Delegación,,,CHACRAS DE CORIA
PLAZA CUADRO ESTACIÓN,Plazas,Terciario,,C,,Delegación,,,PERDRIEL
PLAZA DAPARO,Plazas,Terciario,,A,,Delegación,,,PERDRIEL
PLAZA DEL HUERTO,Plazas,Terciario,,C,,Delegación,,,LA PUNTILLA
PLAZA ESPACIO I B° 13 DE DICIEMBRE EN JOSE HERNANDEZ,Plazas,Terciario,,C,,Higiene Urbana,,,
PLAZA ESPEJO,Plazas,Primario,,A,,Delegación,,,CHACRAS DE CORIA
PLAZA FELIPE VITALE,Plazas,Secundario,,A,,Higiene Urbana,,,CIUDAD
PLAZA GENERAL SAN MARTÍN,Plazas,Primario,,A,,Higiene Urbana,,,CIUDAD
PLAZA HUENTOTA,Plazas,Secundario,,B,,Higiene Urbana,,,CIUDAD
PLAZA INFANTIL CHACRAS,Plazas,Primario,,A,,Delegación,,,CHACRAS DE CORIA
PLAZA JARDÍN FADER,Plazas,Terciario,,C,,Delegación,,,MAYOR DRUMOND
PLAZA JOSÉ HERNANDEZ,Plazas,Secundario,,C,,Higiene Urbana,,,
PLAZA LA MASIA,Plazas,Terciario,,C,,Delegación,,,
PLAZA LAS COMPUERTAS,Plazas,Secundario,,B,,Delegación,,,LAS COMPUERTAS
PLAZA LAS CORTADERAS,Plazas,Secundario,,C,,Delegación,,,
