Tipo de espacio público,Nombre de espacio público,Estado actual de conservación,Tarea realizada,Área Responsable,Fecha
Rotonda,PINCOLINI,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,INMIGRANTE,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,PUL,Bueno,Limpieza,Obras y EP,17/03/2026
Rotonda,BALCARCE,Bueno,Limpieza,Obras y EP,17/03/2026
Plazas,PLAZA DE LOS ESCRITORES,Bueno,Desmalezado,Higiene Urbana,11/03/2026
Plazas,B° CEC,Bueno,Desmalezado,Higiene Urbana,11/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,11/03/2026
Paseo y Espacios Públicos,RUTA 15 (PTE RIO-FUNES),Bueno,Desmalezado,Higiene Urbana,10/03/2026
Paseo y Espacios Públicos,CICLOVIA PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,10/03/2026
Paseo y Espacios Públicos,PISTA DE MANEJO,Bueno,Limpieza,Higiene Urbana,10/03/2026
Plazas,B° CORDÓN DEL PLATA,Bueno,Desmalezado,Higiene Urbana,09/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,09/03/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Limpieza,Higiene Urbana,06/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,06/03/2026
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES,Bueno,Desmalezado,Higiene Urbana,05/03/2026
Paseo y Espacios Públicos,ANCHORENA (SAN MARTIN-CEMENTERIO),Bueno,Desmalezado,Higiene Urbana,05/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,05/03/2026
Paseo y Espacios Públicos,LUJÁN JOVEN,Bueno,Desmalezado,Higiene Urbana,04/03/2026
Paseo y Espacios Públicos,ROTONDA DE LA VIRGEN,Bueno,Desmalezado,Higiene Urbana,04/03/2026
Plazas,PLAZA DE LOS BOMBEROS,Bueno,Desmalezado,Higiene Urbana,03/03/2026
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,03/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,03/03/2026
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,02/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,02/03/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,20/02/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,20/02/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,19/02/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,19/02/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,18/02/2026
Plazas,B° LAS ACACIAS,Bueno,Desmalezado,Higiene Urbana,17/02/2026
Plazas,B° VICTOR HUGO,Bueno,Desmalezado,Higiene Urbana,17/02/2026
Plazas,B° PARQUE DRUMMOND,Bueno,Desmalezado,Higiene Urbana,17/02/2026
Plazas,B° ALTO DRUMMOND,Bueno,Desmalezado,Higiene Urbana,17/02/2026
Plazas,,,,,
Paseo y Espacios Públicos,PARQUE UNIVERSITARIO,Bueno,Desmalezado,Higiene Urbana,17/02/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,17/02/2026
Paseo y Espacios Públicos,PUERTO DESEADO,Bueno,Limpieza,Higiene Urbana,16/02/2026
Paseo y Espacios Públicos,ROTONDA DE LA VIRGEN,Bueno,Limpieza,Higiene Urbana,16/02/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,16/02/2026
Plazas,VISTA AL ALBA,Bueno,Desmalezado,Higiene Urbana,13/02/2026
Plazas,HUENTOTA,Bueno,Desmalezado,Higiene Urbana,13/02/2026
Rotonda,INMIGRANTE,Bueno,Desmalezado,Higiene Urbana,13/02/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,13/02/2026
Paseo y Espacios Públicos,LUJÁN JOVEN,Bueno,Limpieza,Higiene Urbana,12/02/2026
Paseo y Espacios Públicos,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Limpieza,Higiene Urbana,12/02/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L.,Bueno,Desmalezado,Higiene Urbana,12/02/2026
Paseo y Espacios Públicos,RUTA 82 (Control Policial),Bueno,Desmalezado,Higiene Urbana,11/02/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Limpieza,Higiene Urbana,10/02/2026
Plazas,PLAZA LAS ROSAS,Bueno,Limpieza,Higiene Urbana,10/02/2026
Plazas,PASEO DE LAS ESTACIONES,Bueno,Limpieza,Higiene Urbana,10/02/2026
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES,Bueno,Desmalezado,Higiene Urbana,10/02/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,10/02/2026
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Desmalezado,Higiene Urbana,09/02/2026
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,09/02/2026
Plazas,PLAZOLETA CIOPPO,Bueno,Desmalezado,Higiene Urbana,09/02/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Limpieza,Higiene Urbana,23/01/2026
Paseo y Espacios Públicos,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Limpieza,Higiene Urbana,22/01/2026
Rotonda,INMIGRANTE,Bueno,Limpieza,Higiene Urbana,22/01/2026
Paseo y Espacios Públicos,VISTA AL ALBA,Bueno,Limpieza,Higiene Urbana,22/01/2026
Paseo y Espacios Públicos,LUJÁN JOVEN,Bueno,Limpieza,Higiene Urbana,22/01/2026
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Desmalezado,Higiene Urbana,22/01/2026
Paseo y Espacios Públicos,CHILE (SAENZ PEÑA-VIAMONTE),Bueno,Desmalezado,Higiene Urbana,22/01/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,21/01/2026
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Desmalezado,Higiene Urbana,21/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,20/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,19/01/2026
Paseo y Espacios Públicos,POTRERILLOS,Bueno,Limpieza,Higiene Urbana,16/01/2026
Paseo y Espacios Públicos,CARRIZAL (PUEBLO UNIDAD-LAS TURBERAS),Bueno,Limpieza,Higiene Urbana,15/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,14/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,13/01/2026
Rotonda,PASO Y ALZAGA,Bueno,Limpieza,Obras y EP,26/02/2026
Rotonda,RUTA 82 Y CARACOLES,Bueno,Limpieza,Obras y EP,26/02/2026
Rotonda,PANAMERICANA Y UGARTE,Bueno,Limpieza,Obras y EP,26/02/2026
Rotonda,TERRADA-TERRADA,Bueno,Limpieza,Obras y EP,26/02/2026
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,26/02/2026
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,26/02/2026
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,26/02/2026
Rotonda,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,26/02/2026
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Limpieza,Higiene Urbana,21/01/2026
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,13/01/2026
Paseo y Espacios Públicos,PLAZA POTRERILLOS,Bueno,Limpieza,Higiene Urbana,13/01/2026
Paseo y Espacios Públicos,PLAZA POTRERILLOS,Bueno,Limpieza,,
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Limpieza,Higiene Urbana,13/01/2026
Paseo y Espacios Públicos,RUTA 16 Y RUTA 61 (Pez Carrizal),Bueno,Limpieza,Higiene Urbana,12/01/2026
