Tipo de espacio público,Nombre de espacio público,Estado actual de conservación,Tarea realizada,Área Responsable,Fecha
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,02/12/2024
Paseo y Espacios Públicos,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,29/11/2024
Rotonda,PASO Y ALZAGA,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/11/2024
Rotonda,PASO Y ALZAGA,Bueno,Riego ,Obras y EP,29/11/2024
Rotonda,PANAMERICANA Y UGARTE,Bueno,Mantenimiento de obra,Obras y EP,29/11/2024
Rotonda,PANAMERICANA Y UGARTE,Bueno,Riego ,Obras y EP,29/11/2024
Rotonda,PANAMERICANA Y UGARTE,Bueno,Limpieza,Obras y EP,29/11/2024
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Riego ,Obras y EP,29/11/2024
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/11/2024
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Limpieza,Obras y EP,29/11/2024
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/11/2024
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Limpieza,Obras y EP,29/11/2024
P.E.S.,ITALIA Y FFCC,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/11/2024
P.E.S.,ITALIA Y FFCC,Bueno,Limpieza,Obras y EP,29/11/2024
Ciclovía,SAENZ PEÑA (SAN MARTIN-G.ORTIZ),Bueno,Desmalezado,Higiene Urbana,29/11/2024
Ciclovía,GUARDIA VIEJA (ALMTE BROWN-SAENZ PEÑA),Bueno,Desmalezado,Higiene Urbana,29/11/2024
Plazas,AROMAS DEL PLATA,Bueno,Pintura,Higiene Urbana,28/11/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Pintura,Higiene Urbana,28/11/2024
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,26/11/2024
Plazas,B° CORDÓN DEL PLATA,Malo,Desmalezado,Delegación,27/11/2024
Plazas,B° CORDÓN DEL PLATA,Malo,Limpieza,Delegación,27/11/2024
Rotonda,ARAOZ OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,27/11/2024
Rotonda,ARAOZ OESTE,Bueno,Riego ,Obras y EP,27/11/2024
Rotonda,ARAOZ OESTE,Bueno,Limpieza,Obras y EP,27/11/2024
P.E.S.,PASO Y SAN MARTIN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,27/11/2024
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,27/11/2024
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,27/11/2024
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,27/11/2024
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Riego ,Obras y EP,27/11/2024
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,27/11/2024
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,27/11/2024
Rotonda,PASO Y SAN MARTIN,Regular,Aplicación de glifosato/desyuyar,Obras y EP,27/11/2024
Rotonda,PASO Y SAN MARTIN,Regular,Limpieza,Obras y EP,27/11/2024
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Riego ,Higiene Urbana,25/11/2024
Rotonda,INMIGRANTE,Bueno,Riego ,Higiene Urbana,25/11/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Riego ,Higiene Urbana,25/11/2024
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Aplicación de glifosato/desyuyar,Obras y EP,25/11/2024
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,25/11/2024
Plazas,HUENTOTA,Bueno,Desmalezado,Higiene Urbana,19/11/2024
Paseo y Espacios Públicos,HUENTOTA,Bueno,Desmalezado,Higiene Urbana,19/11/2024
Paseo y Espacios Públicos,PASEO MALBEC,Bueno,Desmalezado,Higiene Urbana,19/11/2024
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Desmalezado,Higiene Urbana,18/11/2024
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Riego ,Higiene Urbana,18/11/2024
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Limpieza,Higiene Urbana,18/11/2024
Plazas,LEVY,Bueno,Limpieza,Delegación,20/11/2024
Plazas,PLAZOLETA CIOPPO,Bueno,Desmalezado,Obras y EP,19/11/2024
Plazas,PLAZOLETA CIOPPO,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,19/11/2024
Plazas,PLAZOLETA CIOPPO,Bueno,Limpieza,Obras y EP,19/11/2024
Rotonda,BRANDSEN (tres esquinas),Bueno,Desmalezado,Obras y EP,19/11/2024
Rotonda,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,19/11/2024
Paseo y Espacios Públicos,PASEO LENCINAS,Bueno,Desmalezado,Higiene Urbana,15/11/2024
Ciclovía,CICLOVÍA Y CANAL SECO VIAMONTE (Besares al Norte),Bueno,Desmalezado,Higiene Urbana,15/11/2024
Paseo y Espacios Públicos,CLAVELES MENDOCINOS,Bueno,Desmalezado,Higiene Urbana,13/11/2024
Plazas,PLAZA DE LOS NIÑOS,Bueno,Desmalezado,Higiene Urbana,15/11/2024
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,15/11/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Desmalezado,Higiene Urbana,14/11/2024
Paseo y Espacios Públicos,FERIAGRO,Bueno,Desmalezado,Higiene Urbana,14/11/2024
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,14/11/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,14/11/2024
Plazas,B° NOCETTI RPN°86,Bueno,Desmalezado,Higiene Urbana,13/11/2024
Plazas,B° NOCETTI RPN°86,Bueno,Limpieza,Higiene Urbana,13/11/2024
Rotonda,BRANDSEN Y COBOS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,15/11/2024
Rotonda,BRANDSEN Y COBOS,Bueno,Riego ,Obras y EP,15/11/2024
Rotonda,BRANDSEN Y COBOS,Bueno,Limpieza,Obras y EP,15/11/2024
Rotonda,BRANDSEN Y COBOS,Bueno,Limpieza,Obras y EP,15/11/2024
Paseo y Espacios Públicos,LETRAS ANSES RUTA 15,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,15/11/2024
Paseo y Espacios Públicos,LETRAS ANSES RUTA 15,Bueno,Riego ,Obras y EP,15/11/2024
Paseo y Espacios Públicos,LETRAS ANSES RUTA 15,Bueno,Limpieza,Obras y EP,15/11/2024
Rotonda,ARAOZ OESTE,Bueno,Riego ,Obras y EP,14/11/2024
Rotonda,RUTA 82 Y CARACOLES,Bueno,Riego ,Obras y EP,14/11/2024
Rotonda,INMIGRANTE,Bueno,Mantenimiento de texturas,Obras y EP,14/11/2024
Rotonda,INMIGRANTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/11/2024
Rotonda,INMIGRANTE,Bueno,Limpieza,Obras y EP,14/11/2024
Paseo y Espacios Públicos,LUJÁN JOVEN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/11/2024
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,14/11/2024
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Limpieza,Obras y EP,14/11/2024
Rotonda,BOEDO ESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/11/2024
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,13/11/2024
Rotonda,BOEDO OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/11/2024
Rotonda,BOEDO OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,13/11/2024
P.E.S.,VIAMONTE Y ALMIRANTE BROWN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/11/2024
P.E.S.,VIAMONTE Y ALMIRANTE BROWN,Bueno,Riego ,Obras y EP,13/11/2024
P.E.S.,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,13/11/2024
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,13/11/2024
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Riego ,Obras y EP,13/11/2024
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,13/11/2024
Plazas,PLAZA LAS TINAJAS,Bueno,Limpieza,Higiene Urbana,12/11/2024
Plazas,SOLARES DE GABRIELLI ,Regular,Limpieza,Higiene Urbana,11/11/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,11/11/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,11/11/2024
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,06/11/2024
Plazas,PLAZA DE LOS BOMBEROS,Bueno,Desmalezado,Higiene Urbana,05/11/2024
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Desmalezado,Higiene Urbana,05/11/2024
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Limpieza,Higiene Urbana,05/11/2024
Paseo y Espacios Públicos,CICLOVIA PARQUE FERRI,Bueno,Limpieza,Higiene Urbana,05/11/2024
Paseo y Espacios Públicos,CICLOVIA PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,05/11/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,05/11/2024
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,05/11/2024
,,,,,
Paseo y Espacios Públicos,LUJAN PLAYA (BAJADA AL RIO),Regular,Recorte de coirones/poda,Higiene Urbana,04/11/2024
Paseo y Espacios Públicos,LUJAN PLAYA (BAJADA AL RIO),Regular,Aplicación de glifosato/desyuyar,Higiene Urbana,04/11/2024
Paseo y Espacios Públicos,LUJAN PLAYA (BAJADA AL RIO),Regular,Limpieza,Higiene Urbana,04/11/2024
Paseo y Espacios Públicos,LUJAN PLAYA (BAJADA AL RIO),Regular,Desmalezado,Higiene Urbana,04/11/2024
Rotonda,INMIGRANTE,Bueno,Desmalezado,Higiene Urbana,25/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,25/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,24/10/2024
Paseo y Espacios Públicos,PARQUE URBANO P.U.L,Bueno,Desmalezado,Higiene Urbana,24/10/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Limpieza,Higiene Urbana,23/10/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Desmalezado,Higiene Urbana,23/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,23/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,23/10/2024
Rotonda,GAVIOLA Y PATRICIOS,Bueno,Limpieza,Obras y EP,12/11/2024
P.E.S.,RUTA 15 Y VILLANUEVA,Regular,Riego ,Obras y EP,12/11/2024
P.E.S.,RUTA 15 Y VILLANUEVA,Regular,Aplicación de glifosato/desyuyar,Obras y EP,12/11/2024
P.E.S.,RUTA 15 Y VILLANUEVA,Regular,Limpieza,Obras y EP,12/11/2024
Paseo y Espacios Públicos,SAN MARTÍN Y BESARES,Bueno,Riego ,Obras y EP,12/11/2024
Paseo y Espacios Públicos,SAN MARTÍN Y BESARES,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,12/11/2024
Paseo y Espacios Públicos,SAN MARTÍN Y BESARES,Bueno,Limpieza,Obras y EP,12/11/2024
Plazas,B° LOS ROBLES,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,12/11/2024
Plazas,B° LOS ROBLES,Bueno,Limpieza,Obras y EP,12/11/2024
Plazas,PLAZA LAS TINAJAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,07/11/2024
Plazas,PLAZA LAS TINAJAS,Bueno,Limpieza,Obras y EP,07/11/2024
Rotonda,RUTA 15 Y QUINTANA,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,07/11/2024
Rotonda,RUTA 15 Y QUINTANA,Bueno,Recorte de coirones/poda,Obras y EP,07/11/2024
Rotonda,RUTA 15 Y QUINTANA,Bueno,Limpieza,Obras y EP,07/11/2024
Rotonda,PUL,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,06/11/2024
Rotonda,PUL,Bueno,Recorte de coirones/poda,Obras y EP,06/11/2024
Rotonda,PUL,Bueno,Limpieza,Obras y EP,06/11/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Aplicación de glifosato/desyuyar,Obras y EP,06/11/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Recorte de coirones/poda,Obras y EP,06/11/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Limpieza,Obras y EP,06/11/2024
Rotonda,RUTA 82 Y CARACOLES,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,05/11/2024
Rotonda,RUTA 82 Y CARACOLES,Bueno,Recorte de coirones/poda,Obras y EP,05/11/2024
Paseo y Espacios Públicos,Cantero central Panamericana (Irigoyen-Ugarte),Bueno,Aplicación de glifosato/desyuyar,Obras y EP,05/11/2024
Paseo y Espacios Públicos,Cantero central Panamericana (Irigoyen-Ugarte),Bueno,Limpieza,Obras y EP,05/11/2024
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,04/11/2024
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Pintura,Obras y EP,04/11/2024
P.E.S.,RUTA PANAMERICANA E IRIGOYEN,Bueno,Limpieza,Obras y EP,04/11/2024
Rotonda,PASO Y UGARTE,Bueno,Riego ,Obras y EP,31/10/2024
Rotonda,PASO Y UGARTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,31/10/2024
Rotonda,PASO Y UGARTE,Bueno,Limpieza,Obras y EP,31/10/2024
P.E.S.,BRANDSEN (tres esquinas),Bueno,Mantenimiento de texturas,Obras y EP,30/10/2024
P.E.S.,BRANDSEN (tres esquinas),Bueno,Recorte de coirones/poda,Obras y EP,30/10/2024
P.E.S.,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,30/10/2024
Rotonda,BRANDSEN (tres esquinas),Bueno,Riego ,Obras y EP,30/10/2024
Rotonda,BRANDSEN (tres esquinas),Bueno,Aplicación de glifosato/desyuyar,Obras y EP,30/10/2024
Rotonda,BRANDSEN (tres esquinas),Bueno,Limpieza,Obras y EP,30/10/2024
Rotonda,BESARES Y SAN MARTÍN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,30/10/2024
Rotonda,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,30/10/2024
Rotonda,PASO Y ALZAGA,Bueno,Pintura,Obras y EP,29/10/2024
Rotonda,INMIGRANTE,Bueno,Pintura,Obras y EP,29/10/2024
Rotonda,ARAOZ OESTE,Bueno,Pintura,Obras y EP,29/10/2024
Rotonda,RUTA 82 Y CARACOLES,Bueno,Pintura,Obras y EP,29/10/2024
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Recorte de coirones/poda,Obras y EP,29/10/2024
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/10/2024
Rotonda,BOEDO OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/10/2024
Rotonda,BOEDO ESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/10/2024
Rotonda,BRANDSEN Y COBOS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/10/2024
Rotonda,BRANDSEN Y COBOS,Bueno,Limpieza,Obras y EP,29/10/2024
P.E.S.,PARQUE CIVICO,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,29/10/2024
P.E.S.,PARQUE CIVICO,Bueno,Recorte de coirones/poda,Obras y EP,29/10/2024
P.E.S.,PARQUE CIVICO,Bueno,Limpieza,Obras y EP,29/10/2024
Rotonda,CORREDOR DEL OESTE,Bueno,Desmalezado,Higiene Urbana,29/10/2024
Rotonda,CORREDOR DEL OESTE,Bueno,Mantenimiento de texturas,Obras y EP,29/10/2024
Rotonda,CORREDOR DEL OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,24/10/2024
Rotonda,CORREDOR DEL OESTE,Bueno,Limpieza,Obras y EP,24/10/2024
Rotonda,SAN MARTÍN Y PASO,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,24/10/2024
Rotonda,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,24/10/2024
Rotonda,PASO Y SAN MARTIN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,24/10/2024
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,24/10/2024
P.E.S.,PASO Y SAN MARTIN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,23/10/2024
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,23/10/2024
P.E.S.,SAN MARTÍN Y PASO,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,23/10/2024
P.E.S.,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,23/10/2024
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,23/10/2024
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,23/10/2024
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,23/10/2024
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,23/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,23/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,23/10/2024
Rotonda,PINCOLINI,Bueno,Limpieza,Higiene Urbana,17/10/2024
Rotonda,PINCOLINI,Bueno,Desmalezado,Higiene Urbana,17/10/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Desmalezado,Higiene Urbana,18/10/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Desmalezado,Higiene Urbana,18/10/2024
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Limpieza,Higiene Urbana,18/10/2024
Plazas,PLAZA DE LOS NIÑOS,Bueno,Limpieza,Higiene Urbana,18/10/2024
P.E.S.,ALMIRANTE BROWN Y VIAMONTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,21/10/2024
P.E.S.,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,21/10/2024
P.E.S.,VIAMONTE Y ALMIRANTE BROWN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,21/10/2024
P.E.S.,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,21/10/2024
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,21/10/2024
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Pintura,Obras y EP,21/10/2024
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,21/10/2024
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Riego ,Obras y EP,21/10/2024
Rotonda,ALMIRANTE BROWN Y VIAMONTE,Bueno,Limpieza,Obras y EP,21/10/2024
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,21/10/2024
Paseo y Espacios Públicos,ESQUINA PUEYRREDON Y VIAMONTE,Bueno,Limpieza,Obras y EP,21/10/2024
P.E.S.,BONARDA Y PARQUE CÍVICO,Bueno,Moviliario urbano,Obras y EP,21/10/2024
P.E.S.,BONARDA Y PARQUE CÍVICO,Bueno,Juegos/Deporte,Obras y EP,21/10/2024
P.E.S.,BONARDA Y PARQUE CÍVICO,Bueno,Pintura,Obras y EP,21/10/2024
P.E.S.,BONARDA Y PARQUE CÍVICO,Bueno,Limpieza,Obras y EP,21/10/2024
Plazas,PLAZA B JARDIN FADER,Bueno,Limpieza,Higiene Urbana,18/10/2024
P.E.S.,ITALIA Y FFCC,Bueno,Juegos/Deporte,Obras y EP,18/10/2024
P.E.S.,ITALIA Y FFCC,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,18/10/2024
P.E.S.,ITALIA Y FFCC,Bueno,Limpieza,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Siembra,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Mantenimiento de obra,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Juegos/Deporte,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Moviliario urbano,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Mantenimiento de texturas,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Riego ,Obras y EP,18/10/2024
Plazas,B° ALTO DRUMMOND,Bueno,Limpieza,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Mantenimiento de obra,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Juegos/Deporte,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Iluminación,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Moviliario urbano,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Mantenimiento de texturas,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Riego ,Obras y EP,18/10/2024
Plazas,B° NOCETTI RPN°86,Bueno,Limpieza,Obras y EP,18/10/2024
Plazas,B° MUTUAL YPF (SALIDA CASTRO B),Bueno,Mantenimiento de obra,Obras y EP,18/10/2024
Plazas,B° MUTUAL YPF (SALIDA CASTRO B),Bueno,Limpieza,Obras y EP,18/10/2024
Rotonda,INMIGRANTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,18/10/2024
Rotonda,INMIGRANTE,Bueno,Limpieza,Obras y EP,18/10/2024
Rotonda,PINCOLINI,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,18/10/2024
Rotonda,PINCOLINI,Bueno,Limpieza,Obras y EP,18/10/2024
Paseo y Espacios Públicos,BESARES Y SAN MARTÍN,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,18/10/2024
Paseo y Espacios Públicos,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,18/10/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Desmalezado,Obras y EP,18/10/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Aplicación de glifosato/desyuyar,Obras y EP,18/10/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Riego ,Obras y EP,18/10/2024
Paseo y Espacios Públicos,"VIRGEN (Callejón de la Virgen, Vistalba)",Bueno,Limpieza,Obras y EP,18/10/2024
Ciclovía,ANCHORENA (SAN MARTIN-CEMENTERIO),Bueno,Limpieza,Higiene Urbana,15/10/2024
Ciclovía,ANCHORENA (SAN MARTIN-CEMENTERIO),Bueno,Desmalezado,Higiene Urbana,15/10/2024
Plazas,B° CURVIFLOR (TURBERAS),Bueno,Desmalezado,Higiene Urbana,16/10/2024
Paseo y Espacios Públicos,CHILE (SAENZ PEÑA-VIAMONTE),Bueno,Desmalezado,Higiene Urbana,16/10/2024
Paseo y Espacios Públicos,CHILE (SAENZ PEÑA-VIAMONTE),Bueno,Limpieza,Higiene Urbana,16/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,16/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,16/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,15/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,15/10/2024
Plazas,GENERAL SAN MARTÍN,Bueno,Limpieza,Higiene Urbana,15/10/2024
Plazas,GENERAL SAN MARTÍN,Bueno,Desmalezado,Higiene Urbana,15/10/2024
Paseo y Espacios Públicos,ESPACIO I B° 13 DE DICIEMBRE EN JOSE HERNANDEZ,Bueno,Desmalezado,Higiene Urbana,14/10/2024
Paseo y Espacios Públicos,ESPACIO I B° 13 DE DICIEMBRE EN JOSE HERNANDEZ,Bueno,Limpieza,Higiene Urbana,14/10/2024
Plazas,B° CEC,Bueno,Limpieza,Higiene Urbana,14/10/2024
Plazas,PLAZA DE LOS ESCRITORES,Bueno,Limpieza,Higiene Urbana,14/10/2024
Plazas,B° CEFERINO NAMUNCURA,Bueno,Limpieza,Higiene Urbana,14/10/2024
Plazas,PLAZA LAS PARRAS,Bueno,Desmalezado,Higiene Urbana,14/10/2024
Paseo y Espacios Públicos,PASEO GUEVARA,Bueno,Desmalezado,Higiene Urbana,14/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,14/10/2024
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Obras y EP,14/10/2024
Paseo y Espacios Públicos,MIRADOR RUINAS DE FADER,Bueno,Pintura,Obras y EP,16/10/2024
Paseo y Espacios Públicos,MIRADOR RUINAS DE FADER,Bueno,Mantenimiento de texturas,Obras y EP,16/10/2024
Paseo y Espacios Públicos,MIRADOR RUINAS DE FADER,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,16/10/2024
Paseo y Espacios Públicos,MIRADOR RUINAS DE FADER,Bueno,Limpieza,Obras y EP,16/10/2024
Paseo y Espacios Públicos,ESQUINA VIEYTES Y BOEDO,Bueno,Limpieza,Obras y EP,14/10/2024
