NOMBRE,TIPO,CATEGORIA,ÁREA RESPONSABLE,LATITUD,LONGITUD,DISTRITO
HEROES DE MALVINAS,Paseo y Espacios Públicos,E,Delegación,-32.96538892,-68.85530999,CARRODILLA
HEROES DE MALVINAS (CARRODILLA-PASO),Ciclovía,C,Higiene Urbana y Obras,-32.96164099,-68.85443535,CARRODILLA
HEROES DE MALVINAS Y CARRODILLA,P.E.S.,A,Delegación,-32.95872797,-68.8527258,CARRODILLA
HUENTOTA,Plazas,B,Higiene Urbana,,,CIUDAD
INFANTIL CHACRAS,Plazas,A,Delegación,,,CHACRAS DE CORIA
INMIGRANTE,Rotonda,E,Obras y EP,-33.03202828,-68.90838316,VISTALBA
ITALIA (FFCC-LINIERS),Ciclovía,B,Higiene Urbana y Obras,-32.98536184,-68.88053915,CHACRAS DE CORIA
ITALIA Y FFCC,P.E.S.,A,Delegación,-32.98481617,-68.87997483,CHACRAS DE CORIA
JARDÍN DE FADER,Plazas,C,Delegación,,,MAYOR DRUMOND
JOSÉ HERNANDEZ,Plazas,C,Higiene Urbana,,,CIUDAD
LA MASIA,Plazas,C,Delegación,,,
LAS COMPUERTAS,Plazas,B,Delegación,,,LAS COMPUERTAS
LAS CORTADERAS,Plazas,C,Delegación,,,CHACRAS DE CORIA
LAS GLICINAS,Plazas,C,Delegación,,,CARRODILLA
LETRAS ANSES RUTA 15,Paseo y Espacios Públicos,C,Obras y EP,,,
LEVY,Plazas,C,Delegación,,,CHACRAS DE CORIA
LÍMITE CON GODOY CRUZ,Plazas,C,Delegación,,,CARRODILLA
LINIERS (ITALIA-ALZAGA),Ciclovía,B,Higiene Urbana y Obras,-32.98591752,-68.87378436,CHACRAS DE CORIA
LOS AROMOS,Plazas,C,Delegación,-32.97472279,-68.8195057,CHACRAS DE CORIA
LOS CEREZOS,Plazas,C,Delegación,,,LA PUNTILLA
LUJÁN JOVEN,Paseo y Espacios Públicos,E,Higiene Urbana,-33.03374847,-68.89678129,CIUDAD
LUJAN PLAYA (BAJADA AL RIO),Ciclovía,C,Higiene Urbana y Obras,-33.03909756,-69.02113791,LAS COMPUERTAS
MATHEU (CUBILLOS-PANAMA),Ciclovía,B,Higiene Urbana y Obras,-32.97186901,-68.86131577,
MATHEU Y CUBILLOS,Rotonda,A,Obras y EP,,,
MATHEU Y CUBILLOS,P.E.S.,A,Obras y EP,,,
MIRADOR BALCARCE OESTE,Paseo y Espacios Públicos,A,Higiene Urbana,,,CIUDAD
MIRADOR RUINAS DE FADER,Paseo y Espacios Públicos,B,Delegación,-33.04478913,-69.09608972,CACHEUTA
MONUMENTO CARRIZAL,Paseo y Espacios Públicos,B,Delegación,,,EL CARRIZAL
NEW JERSEY (Calle Paso),Paseo y Espacios Públicos,C,Delegación,,,CARRODILLA
NEW JERSEY (CORREDOR DEL OESTE),Paseo y Espacios Públicos,C,Delegación,,,LA PUNTILLA
NOGAL I,Plazas,C,Delegación,-32.96587841,-68.83623526,CARRODILLA
NOGAL III,Plazas,C,Delegación,,,CARRODILLA
OLAVARRÍA Y TERRADA,P.E.S.,C,Delegación,-33.06999045,-68.86837896,PERDRIEL
PANAMA (MATHEU-PASO),Ciclovía,B,Higiene Urbana y Obras,-32.96869923,-68.85809994,
PANAMERICANA (LA PAMPA-UGARTE),Ciclovía,E,Higiene Urbana y Obras,-32.95962095,-68.86314042,
PANAMERICANA Y UGARTE,Rotonda,A,Obras y EP,,,LA PUNTILLA
PARQUE CIVICO,Paseo y Espacios Públicos,A,Parque Cívico,,,CARRODILLA
PARQUE FERRI,Ciclovía,C,Higiene Urbana y Obras,-33.03822504,-68.87382738,CIUDAD
PARQUE FERRI,Paseo y Espacios Públicos,E,Higiene Urbana,-33.03842122,-68.87374055,CIUDAD
PARQUE UNIVERSITARIO,Plazas,C,Delegación,-32.97597407,-68.8389086,CARRODILLA
PARQUE URBANO P.U.L,Rotonda,B,Obras y EP,,,CIUDAD
PARQUE URBANO P.U.L.,Paseo y Espacios Públicos,E,Higiene Urbana,-33.03983231,-68.87313604,CIUDAD
PASEO CARRODILLA,Paseo y Espacios Públicos,C,Delegación,,,CARRODILLA
PASEO CHILE (Advocaciones),Paseo y Espacios Públicos,A,Higiene Urbana,-33.0283803,-68.89033255,CIUDAD
PASEO DE LAS ESTACIONES,Paseo y Espacios Públicos,A,Higiene Urbana,-33.03576017,-68.87529392,CIUDAD
PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Ciclovía,E,Higiene Urbana y Obras,-33.02902559,-68.87648326,CIUDAD
PASEO GUEVARA,Paseo y Espacios Públicos,B,Higiene Urbana,,,CIUDAD
PASEO LENCINAS,Paseo y Espacios Públicos,C,Higiene Urbana,-33.03084808,-68.87156179,CIUDAD
PASEO LIBERTAD,Paseo y Espacios Públicos,B,Higiene Urbana,,,CIUDAD
PASEO MALBEC,Ciclovía,C,Higiene Urbana y Obras,,,CIUDAD
PASEO MALBEC,Paseo y Espacios Públicos,B,Higiene Urbana,-33.03540706,-68.86650832,CIUDAD
PASEO MOSCONI,Paseo y Espacios Públicos,B,Higiene Urbana,,,CIUDAD
PASO (PANAMERICANA-SAN MARTIN),Ciclovía,E,Higiene Urbana y Obras,-32.96370393,-68.86202352,
PASO (SAN MARTIN-M. A SAENZ),Ciclovía,C,Higiene Urbana y Obras,-32.96648971,-68.84821186,
PASO Y ALZAGA,Rotonda,A,Obras y EP,-32.96396105,-68.86163246,LA PUNTILLA
PASO Y SAN MARTIN,Rotonda,E,Obras y EP,-32.96560544,-68.85418165,CARRODILLA
